"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-03","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-04","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-05","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-06","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-07","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-08","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-09","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-10","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-11","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2022-12","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2023-01","Canada","2016A000011124","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units","0","v44174611","1.1.3","","..","","","0"
"2020-08","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","8198305","","","","0"
"2020-09","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6702473","","","","0"
"2020-10","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","6955185","","","","0"
"2020-11","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7164213","","","","0"
"2020-12","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7324378","","","","0"
"2021-01","Canada","2016A000011124","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours","210","units","0","v44174612","1.1.4","7637191","","","","0"
