"Labour force characteristics, three-month moving average, unadjusted for seasonality c 1"
"Frequency: Monthly"
"Table: 14-10-0378-01"
"Release date: 2023-04-06"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

"Labour force characteristics","Unemployment rate 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography 3 4","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023"
,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, Alberta","13.7","12.6","11.3","10.5","10.6","11.4","11.3","11.3","10.9","10.5","9.5","8.8","8.2","8.0","7.4","6.7","6.1","6.6","6.9","7.2","7.1","6.3","5.8","5.3","5.5","5.4","5.0","4.9","5.0","5.8","5.8","6.1"
"Kelowna, British Columbia 5","8.3","7.5","6.7","4.8","4.9","5.1","5.9","5.5","6.1","5.9","6.3","5.3","5.9","5.3","4.7","4.7","5.5","7.5","7.4","6.8","5.1","4.2","4.1","4.1","4.6","4.3","4.0","3.6","3.7","3.9","3.8","3.6"
"Abbotsford-Mission, British Columbia","9.2","8.1","8.5","7.8","8.5","8.5","8.1","7.2","6.0","6.0","5.8","5.5","5.4","6.9","7.8","8.5","7.4","5.8","4.7","4.4","4.7","4.7","4.4","4.9","5.1","5.6","4.8","4.5","4.6","5.9","6.3","6.1"
"Vancouver, British Columbia","13.0","11.3","9.8","8.0","7.4","7.7","7.7","7.9","7.5","7.6","7.5","7.7","7.6","7.1","6.4","5.6","5.2","5.3","5.0","5.2","5.0","5.0","4.8","4.8","5.0","4.6","4.5","4.2","4.2","4.4","4.8","5.2"
"Victoria, British Columbia","10.5","9.5","8.0","6.4","5.9","5.4","5.6","6.3","6.4","6.3","5.5","4.3","4.2","4.1","4.4","3.9","3.7","3.7","3.7","4.0","4.1","3.9","3.8","4.1","4.9","4.9","4.2","3.1","2.6","2.5","2.8","3.2"

Symbol legend:
x, suppressed to meet the confidentiality requirements of the Statistics Act


"Table Corrections:"
Date,Note
"2021-04-09","Effective April 9, 2021, the corrected data for Belleville, Ontario are available."



Footnotes:
